,hotel,clean,comfort,location,services,staff,value,wifi
217,the-thales-miletus-compact-in-kiev-teremki.uk.html,6.5,7.3,6.2,6.1,6.9,6.8,9.4
218,amarant-apart.uk.html,8.9,7.5,7.8,7.2,7.2,6.1,
219,manna.uk.html,9.6,9.4,9.1,9.0,9.4,8.4,9.1
220,karman-kyiv.uk.html,7.6,7.5,6.9,7.4,8.0,7.5,6.7
221,kiev-hotel-rock-wall.uk.html,6.9,7.4,7.0,6.8,7.6,7.0,6.1
222,dndud-n-dnndpd-ddeg.uk.html,7.6,7.5,6.5,6.4,7.5,6.9,5.6
223,mini-kropivnickogo.uk.html,8.9,9.4,8.3,8.1,8.7,8.4,8.7
224,amarant.uk.html,8.5,7.3,7.9,7.9,8.4,7.6,8.9
225,green-hotel.uk.html,7.0,6.4,6.7,6.7,7.9,7.1,8.2
226,seven-sky.uk.html,9.6,7.6,9.2,9.0,9.4,9.0,9.3
227,angel-s.uk.html,9.8,8.9,9.6,9.7,9.7,9.6,9.8
228,status-apartments-kiev.uk.html,8.5,9.0,8.3,8.0,8.4,7.6,8.6
229,crystal.uk.html,9.6,9.8,9.2,9.0,9.7,8.7,9.5
230,feofaniia-kiyiv.uk.html,5.8,7.3,5.5,5.5,7.9,6.3,7.9
231,bontiak.uk.html,8.7,9.2,8.3,7.8,8.6,7.6,8.5
232,diplomat.uk.html,8.7,8.8,8.4,7.9,7.8,8.1,
233,classic-kiev.uk.html,8.6,8.4,7.7,7.8,8.7,7.6,8.0
234,hotel-complex-kyiv.uk.html,7.2,8.6,6.7,6.6,7.8,6.9,7.1
235,impressa.uk.html,8.5,9.4,8.0,7.9,9.1,7.9,
236,faraon-kyiv.uk.html,8.7,7.7,8.1,8.2,8.7,8.3,9.0
237,adel.uk.html,6.2,5.5,5.8,6.1,7.8,6.5,6.3
238,villaninna.uk.html,9.2,8.4,8.9,8.7,9.3,8.7,8.9
239,sunday-apart.uk.html,8.9,9.6,8.3,8.2,8.9,8.5,8.9
240,incognito-boutique.uk.html,9.6,9.5,8.8,8.8,9.4,9.0,8.7
241,ineko.uk.html,6.7,7.3,6.4,6.6,8.1,6.9,6.7
242,malien-kaia-gavanna.uk.html,8.3,7.1,8.0,8.2,9.0,8.7,8.8
243,dnnddegnndod-d1.uk.html,8.6,6.9,8.4,8.2,9.0,8.5,6.5
244,gotiel-znannia.uk.html,7.5,8.6,7.0,6.9,8.1,7.5,6.7
245,kamelot-kiev.uk.html,9.0,8.6,8.7,8.5,9.1,8.1,8.3
246,plutarh-mini-gr-12.uk.html,4.8,6.5,4.8,4.6,6.0,5.2,4.8
247,gostinitsa-vg.uk.html,5.5,3.0,3.3,4.3,5.0,4.3,
248,domus-1.uk.html,8.3,8.6,7.6,7.7,8.6,7.4,8.5
249,nyvky-plaza.uk.html,7.7,6.8,7.4,7.2,7.5,7.1,7.7
250,borisfen.uk.html,8.1,8.0,7.4,7.6,8.6,7.9,8.8
251,dniproinn.uk.html,7.5,8.7,7.3,7.5,6.9,7.7,
252,apartment-on-clinical-st.uk.html,9.8,8.1,9.4,9.4,9.6,9.2,9.6
253,domashniy-uyut.uk.html,9.1,7.6,8.9,8.8,9.3,8.8,9.6
254,apartments-top-obolon.uk.html,8.6,8.9,8.3,8.5,9.2,8.9,7.5
255,de-paris-apartments.uk.html,10.0,9.8,10.0,9.8,9.8,9.8,
256,hostel-dvorets-ukrainy.uk.html,4.2,7.5,4.1,4.3,5.7,4.8,6.6
257,mini-hottey.uk.html,7.9,7.1,7.7,7.6,9.1,7.9,6.8
258,privat.uk.html,5.5,7.1,5.4,4.8,6.5,5.4,
259,nelli.uk.html,9.4,9.8,8.9,8.8,9.2,9.0,9.3
260,mini-otel.uk.html,9.3,6.8,8.8,8.6,9.0,9.1,8.8
261,confortable-room-in-an-apartment-near-center-of-kiev.uk.html,8.4,8.1,7.8,7.8,8.4,7.8,
262,mini-otiel-na-solom-quot-iantsi.uk.html,8.2,8.0,7.8,7.9,8.7,8.2,6.7
263,predslava-service.uk.html,9.3,9.1,8.9,8.9,9.5,8.8,8.3
264,guest-resort-in-smart-house.uk.html,9.3,8.5,9.3,9.0,8.5,9.0,
265,vs-apartments.uk.html,9.5,8.4,9.2,9.1,9.5,9.0,8.4
266,apartments-cityhotel.uk.html,9.9,8.9,9.9,9.7,9.7,9.2,8.3
267,fairmont-grand-kiev.uk.html,9.2,8.7,9.1,8.9,8.7,7.8,8.2
268,oselya.uk.html,9.3,8.0,9.1,9.0,9.4,8.7,9.2
269,intercontinental-kiev.uk.html,9.3,9.3,9.3,9.0,9.1,7.8,8.9
270,holiday-inn-kiev.uk.html,9.2,8.9,8.9,8.7,9.0,7.9,9.2
271,tov-quot-saliut-development-quot.uk.html,8.7,9.0,8.1,7.8,8.8,7.8,8.2
272,lomakin-kiev.uk.html,8.1,7.5,8.3,8.1,8.9,7.8,
273,apartments-sonya.uk.html,9.7,9.6,9.3,9.3,9.5,9.4,9.5
274,apart-otel-na-cherkasskoi.uk.html,9.8,8.7,9.8,9.8,9.9,9.9,7.5
